"Survived","Pclass","Sex","SibSp","Parch","Surname","Title","Embarked","Fare","Age"
0,3,1,0,0,393,10,2,7.3125,25
0,1,1,0,1,382,10,0,61.3792,51
1,3,0,0,0,24,9,1,7.7333,16
0,3,1,0,0,132,10,2,8.05,30
0,3,1,0,0,365,10,2,8.6625,21
0,3,1,8,2,167,8,2,69.55,14.5
0,3,1,0,1,205,10,2,16.1,44
1,2,0,0,0,803,11,2,15.75,40
0,3,1,0,0,797,10,2,7.775,26
0,3,1,0,0,180,10,2,8.6625,17
0,3,1,4,1,395,8,2,39.6875,1
1,3,1,0,2,285,8,2,20.525,9
1,1,0,0,1,405,11,2,55,51
0,3,0,1,4,858,11,2,27.9,45
0,1,1,0,0,83,10,2,25.925,42
0,3,1,0,0,78,10,2,56.4958,28
0,1,1,0,0,532,10,2,33.5,61
0,3,1,4,1,65,8,1,29.125,4
1,3,0,1,1,517,9,2,11.1333,1
0,3,1,0,0,139,10,2,7.925,21
0,1,1,0,0,462,10,0,30.6958,56
0,3,1,1,1,80,10,2,7.8542,18
0,3,1,3,1,74,8,2,25.4667,2
0,1,0,0,0,334,9,0,28.7125,50
0,2,1,0,0,818,10,2,13,30
0,3,1,0,0,671,10,2,0,36
0,3,0,8,2,167,9,2,69.55,14.5
0,2,1,0,0,47,10,0,15.05,20
0,3,1,4,2,623,8,2,31.3875,9
1,2,1,2,1,415,8,2,39,1
1,3,0,0,2,289,9,2,22.025,4
0,1,1,0,0,636,10,2,50,47
1,3,0,1,0,169,11,1,15.5,19
1,1,1,0,0,723,10,2,26.55,45
0,3,1,1,1,92,10,1,15.5,40
0,3,1,0,0,438,10,2,7.8958,36
1,2,0,0,0,116,11,2,13,32
0,2,1,0,0,308,10,2,13,19
1,3,0,1,0,183,9,2,7.8542,19
1,2,1,1,1,865,8,2,26,3
1,1,0,0,0,163,11,0,27.7208,44
1,1,0,0,0,153,9,0,146.5208,58
0,3,1,0,0,164,10,1,7.75,21
0,3,1,0,1,393,10,2,8.4042,42
1,3,0,0,0,22,9,1,7.75,16
0,2,0,0,0,445,9,2,13,24
0,3,1,0,0,176,10,2,9.5,28
0,3,1,8,2,167,10,2,69.55,14
0,3,1,0,0,584,10,2,6.4958,34
0,3,1,0,0,808,10,0,7.225,45.5
1,3,1,0,0,690,10,2,8.05,18
0,3,0,0,1,610,9,2,10.4625,2
0,3,1,1,0,495,10,2,15.85,32
1,3,1,0,0,331,10,0,18.7875,26
1,3,0,0,0,558,9,1,7.75,16
1,1,1,0,0,198,10,0,31,40
0,3,1,0,0,210,10,2,7.05,24
1,2,0,0,0,753,9,2,21,35
0,3,1,0,0,637,10,2,7.25,22
0,2,1,0,0,190,10,2,13,30
0,3,1,1,0,390,10,1,7.75,21
1,1,0,1,0,719,9,0,113.275,31
1,3,0,0,0,50,9,2,7.925,27
0,2,1,1,0,524,10,2,27,42
1,1,0,0,0,644,9,0,76.2917,32
0,2,1,0,0,244,10,2,10.5,30
1,3,1,0,0,868,10,2,8.05,16
0,2,1,0,0,197,10,2,13,27
0,3,1,0,0,96,10,2,8.05,51
0,3,1,0,0,444,10,2,7.8958,21
1,1,1,1,0,617,10,2,90,38
0,3,1,0,0,535,10,2,9.35,22
1,2,1,0,0,663,10,2,10.5,19
0,3,1,0,0,178,10,2,7.25,20.5
0,2,1,0,0,90,10,2,13,18
0,3,0,3,1,74,9,2,25.4667,2
1,1,0,1,0,244,11,2,83.475,35
0,3,1,0,0,771,10,2,7.775,29
0,2,1,0,0,701,10,2,13.5,59
1,3,0,4,2,623,9,2,31.3875,5
0,2,1,0,0,792,10,2,10.5,24
0,3,0,0,0,536,9,2,7.55,18
0,2,1,1,0,299,10,2,26,44
1,2,0,0,2,291,9,2,26.25,8
0,2,1,0,0,511,10,2,10.5,19
0,2,1,0,0,857,10,2,12.275,33
0,3,0,1,0,93,9,0,14.4542,14.5
1,3,0,1,0,388,9,1,15.5,18
0,2,1,0,0,363,10,2,10.5,29
0,3,1,0,0,307,10,2,7.125,22
0,3,1,0,0,306,10,0,7.225,30
0,1,1,2,0,452,4,1,90,44
0,3,0,0,0,40,9,2,7.775,25
1,2,0,0,2,795,11,2,14.5,24
1,1,1,1,1,23,10,2,52.5542,37
0,2,1,1,0,643,0,2,26,54
0,3,1,0,0,76,10,2,7.25,25
0,3,0,1,1,610,11,2,10.4625,29
0,1,1,0,0,34,10,2,26.55,62
0,3,1,1,0,621,10,2,16.1,30
0,3,0,0,2,324,11,2,20.2125,41
1,3,0,0,2,821,11,0,15.2458,29
1,1,0,0,0,576,11,0,79.2,55
1,1,0,0,0,371,9,2,86.5,30
1,1,0,0,0,298,9,0,512.3292,35
1,2,0,0,1,786,11,2,26,50
0,3,1,0,0,462,10,1,7.75,21
1,3,1,4,2,623,8,2,31.3875,3
0,1,1,1,1,435,10,2,79.65,52
0,1,1,0,0,593,10,2,0,40
0,3,0,0,0,36,9,1,7.75,16
0,2,1,0,0,82,10,2,10.5,36
0,3,1,4,1,395,10,2,39.6875,16
1,3,1,1,0,561,10,2,7.775,25
1,1,0,0,1,539,11,2,153.4625,58
1,1,0,0,0,319,9,2,135.6333,35
0,1,1,0,0,534,10,2,31,47
1,3,1,0,0,248,10,2,0,25
1,2,0,0,1,384,11,2,19.5,41
0,1,1,0,1,595,10,0,29.7,37
1,3,0,0,0,215,9,1,7.75,22
1,1,0,1,0,845,9,2,77.9583,63
0,3,0,0,0,766,9,2,7.75,45
0,2,1,0,0,42,10,2,0,25
0,3,1,4,1,65,8,1,29.125,7
1,3,0,1,1,234,11,2,20.25,35
0,3,1,0,0,391,10,1,7.75,65
0,3,1,0,0,788,10,2,7.8542,28
0,3,1,0,0,574,10,2,9.5,16
1,3,1,0,0,529,10,2,8.05,19
0,1,1,0,0,462,10,2,26,47
0,3,1,0,0,503,10,0,8.6625,33
1,3,1,0,0,665,10,2,9.5,30
0,3,1,0,0,403,10,2,7.8958,22
1,2,1,0,0,579,10,2,13,42
1,3,0,0,0,202,9,1,7.75,22
1,1,0,0,0,245,9,2,78.85,26
1,1,0,1,0,429,11,0,91.0792,19
0,2,1,0,0,336,10,0,12.875,36
0,3,0,0,0,315,9,2,8.85,24
0,3,1,0,0,274,10,2,7.8958,24
0,1,1,0,0,162,10,0,27.7208,40
0,3,1,0,0,855,10,0,7.2292,23.5
0,1,0,1,2,410,9,2,151.55,2
1,1,1,0,0,673,10,2,30.5,47
1,1,0,0,1,742,11,0,247.5208,50
1,3,0,0,0,328,9,1,7.75,22
1,3,1,2,0,485,10,1,23.25,24
0,3,1,0,0,517,10,2,0,19
1,2,0,0,0,416,9,1,12.35,30
0,3,1,0,0,382,10,2,8.05,21
1,1,1,1,2,410,8,2,151.55,0.92
1,1,0,0,0,867,9,0,110.8833,35
1,1,0,1,0,430,11,0,108.9,17
0,2,1,1,0,487,10,0,24,30
1,1,0,0,0,240,9,0,56.9292,30
1,1,0,0,0,514,9,0,83.1583,24
1,1,0,2,2,622,9,0,262.375,18
0,2,0,1,1,830,11,2,26,26
0,3,1,0,0,674,10,2,7.8958,28
0,2,1,1,1,538,10,2,26.25,43
1,3,0,0,0,668,9,2,7.8542,26
1,2,0,1,0,545,11,2,26,24
0,2,1,0,0,214,4,2,14,54
1,1,0,0,2,769,9,2,164.8667,31
1,1,0,1,1,725,11,0,134.5,40
0,3,1,0,0,649,10,2,7.25,22
0,3,1,0,0,389,10,2,7.8958,27
1,2,0,0,0,666,9,1,12.35,30
1,2,0,1,1,705,11,2,29,22
0,3,1,8,2,167,10,2,69.55,14
1,1,0,0,0,764,9,0,135.6333,36
0,3,1,0,0,173,10,2,6.2375,61
1,2,0,0,0,774,11,2,13,36
1,3,0,1,1,285,11,2,20.525,31
1,1,0,0,1,594,9,0,57.9792,16
1,3,0,2,0,485,9,1,23.25,18
0,1,1,0,0,53,10,2,28.5,45.5
0,1,1,0,1,539,10,2,153.4625,38
0,3,1,2,0,168,10,2,18,16
1,1,0,1,0,685,11,2,133.65,35
0,3,1,0,0,699,10,2,7.8958,22
0,1,1,1,0,546,10,2,66.6,29
1,1,0,0,0,249,9,0,134.5,41
1,3,1,0,0,237,10,2,8.05,45
0,1,1,0,0,161,10,2,35.5,45
1,2,1,1,1,865,8,2,26,2
1,1,0,3,2,351,9,2,263,24
0,2,1,0,0,114,10,2,13,28
0,2,1,0,0,684,10,2,13,25
0,2,1,0,0,491,10,2,13,36
1,2,0,0,0,163,9,2,13,24
1,2,0,0,0,462,9,2,13,40
1,3,0,1,0,793,11,2,16.1,30
1,3,1,1,1,693,8,2,15.9,3
0,3,1,0,0,778,10,2,8.6625,42
0,3,1,0,0,527,10,2,9.225,23
0,1,1,0,0,854,10,2,35,47
0,3,1,1,1,228,10,0,7.2292,15
0,3,1,1,0,782,10,2,17.8,25
0,3,1,0,0,15,10,0,7.225,22.5
0,3,1,0,0,499,10,2,9.5,28
1,1,0,0,1,140,9,2,55,22
0,2,0,0,0,726,9,2,13,38
1,3,0,0,0,600,9,1,7.8792,18
1,3,0,0,0,626,9,1,7.8792,18
0,3,1,1,4,858,10,2,27.9,40
0,2,1,1,0,565,10,0,27.7208,29
0,3,0,0,1,585,11,0,14.4542,45
0,3,1,0,0,325,10,2,7.05,35
0,3,1,1,0,169,10,1,15.5,26
0,3,1,0,0,379,10,2,7.25,30
1,1,0,1,0,700,11,0,75.25,60
1,3,0,0,0,165,11,0,7.2292,18
1,3,0,0,0,829,9,1,7.75,22
1,1,0,0,0,218,11,0,69.3,24
1,1,1,1,0,520,10,0,55.4417,25
0,3,1,1,0,419,10,2,6.4958,18
0,3,1,0,0,420,10,2,8.05,19
0,1,1,0,0,510,10,0,135.6333,22
0,3,0,3,1,528,9,2,21.075,3
1,1,0,1,0,300,11,0,82.1708,35
1,3,0,0,0,89,9,2,7.25,22
0,1,1,0,2,590,10,0,211.5,27
0,3,1,0,0,145,10,0,4.0125,20
0,3,1,0,0,711,10,2,7.775,19
1,1,0,0,0,437,9,0,227.525,42
1,3,0,0,2,253,9,0,15.7417,1
0,3,1,0,0,547,10,2,7.925,32
1,1,0,1,0,14,11,2,52,35
0,3,1,0,0,17,10,2,7.8958,18
0,2,1,0,0,581,10,2,73.5,18
0,3,1,5,2,290,8,2,46.9,1
1,2,0,0,0,603,9,2,13,36
0,3,1,0,0,394,10,1,7.7292,21
1,2,0,0,0,777,9,0,12,17
1,1,1,1,2,643,10,2,120,36
1,3,1,0,0,736,10,2,7.7958,21
0,3,1,2,0,711,10,2,7.925,28
1,1,0,1,0,719,9,0,113.275,23
1,3,0,0,2,513,11,2,16.7,24
0,3,1,0,0,349,10,2,7.7958,22
0,3,0,0,0,788,9,2,7.8542,31
0,2,1,0,0,721,10,2,26,46
0,2,1,0,0,556,4,2,10.5,23
1,2,0,0,0,614,11,2,12.65,28
1,3,1,0,0,569,10,2,7.925,39
0,3,1,0,0,572,10,2,8.05,26
0,3,0,1,0,127,9,2,9.825,21
0,3,1,1,0,318,10,2,15.85,28
0,3,0,0,0,602,9,2,8.6625,20
0,2,1,1,0,750,10,2,21,34
0,3,1,0,0,63,10,2,7.75,51
1,2,1,1,1,466,8,2,18.75,3
0,3,1,0,0,39,10,2,7.775,21
0,3,0,3,1,74,9,2,25.4667,2
0,3,1,0,0,533,10,2,7.8958,21
0,3,1,0,0,538,10,1,6.8583,19
1,1,0,1,0,452,9,1,90,33
0,2,1,0,0,88,10,2,0,25
1,3,1,0,0,269,10,2,7.925,44
0,3,0,0,0,304,11,2,8.05,31
1,2,0,1,1,551,11,2,32.5,34
1,2,0,0,2,195,9,2,13,18
0,2,1,0,0,344,10,2,13,30
0,3,0,0,2,807,9,2,24.15,10
0,3,1,0,0,650,10,0,7.8958,35
0,3,1,0,0,768,10,1,7.7333,21
0,3,1,0,0,620,10,2,7.875,29
0,3,0,1,1,489,11,2,14.4,28
0,3,1,1,1,324,10,2,20.2125,18
0,3,1,0,0,126,10,2,7.25,25
1,2,0,1,0,120,11,2,26,28
1,2,0,0,0,225,9,2,26,19
0,3,1,0,0,508,10,1,7.75,21
1,3,1,0,0,261,10,2,8.05,32
1,1,1,0,0,203,10,2,26.55,28
1,3,0,1,0,316,11,2,16.1,24
1,2,0,1,0,294,11,2,26,42
0,3,1,0,0,38,10,2,7.125,17
0,1,1,1,0,624,10,2,55.9,50
1,1,0,1,2,643,9,2,120,14
0,3,0,2,2,73,9,2,34.375,21
1,2,0,2,3,466,11,2,18.75,24
0,1,1,1,4,351,10,2,263,64
0,2,1,0,0,401,10,2,10.5,31
1,2,0,1,1,538,11,2,26.25,45
0,3,1,0,0,618,10,2,9.5,20
0,3,1,1,0,544,10,2,7.775,25
1,2,0,0,0,738,9,2,13,28
1,3,1,0,0,326,10,2,8.1125,21
1,1,1,0,2,13,8,2,81.8583,4
1,2,0,0,1,384,9,2,19.5,13
1,1,1,0,0,267,10,2,26.55,34
1,3,0,2,1,873,9,0,19.2583,5
1,1,1,0,0,177,7,2,30.5,52
0,2,1,1,2,706,10,2,27.75,36
0,3,1,1,0,20,10,2,19.9667,24
0,1,1,0,0,279,10,0,27.75,30
1,1,1,1,0,497,10,0,89.1042,49
0,3,1,0,0,434,10,2,8.05,21
1,3,1,0,0,156,10,0,7.8958,29
0,1,1,0,0,646,10,2,26.55,65
1,1,0,1,0,850,11,2,51.8625,33
1,2,0,0,0,58,9,2,10.5,50
0,3,1,0,0,872,10,1,7.75,21
1,1,1,0,0,494,10,2,26.55,48
0,3,1,0,0,404,10,2,8.05,34
0,1,1,0,0,695,10,2,38.5,47
0,2,1,0,0,268,10,2,13,48
0,3,1,0,0,179,10,2,8.05,21
0,3,1,0,0,421,10,2,7.05,38
0,2,1,0,0,460,10,2,0,40
0,1,1,0,0,553,10,2,26.55,56
0,3,1,0,0,471,10,1,7.725,21
1,3,0,2,1,873,9,0,19.2583,0.75
0,3,1,0,0,675,10,2,7.25,22
0,3,1,0,0,152,10,2,8.6625,38
1,2,0,1,2,706,11,2,27.75,33
1,2,0,0,0,787,11,0,13.7917,23
0,3,0,0,0,861,9,2,9.8375,22
0,1,1,0,0,321,10,2,52,42
0,2,1,1,0,562,10,2,21,34
0,3,1,1,0,231,10,2,7.0458,29
0,3,1,0,0,814,10,2,7.5208,22
1,3,0,0,1,181,9,2,12.2875,2
0,3,1,5,2,290,8,2,46.9,9
0,2,1,0,0,340,10,2,0,25
0,3,1,0,0,457,10,2,8.05,50
1,3,0,0,0,525,11,2,9.5875,63
1,1,1,1,0,429,10,0,91.0792,25
0,3,0,3,1,74,9,2,25.4667,2
1,1,0,1,0,617,11,2,90,35
0,1,1,0,0,57,10,0,29.7,58
0,3,1,0,0,44,10,2,8.05,30
1,3,1,1,1,693,8,2,15.9,9
0,3,1,1,0,20,10,2,19.9667,24
0,3,1,0,0,573,10,2,7.25,21
0,1,1,0,0,464,10,2,30.5,55
0,1,1,0,0,264,10,0,49.5042,71
0,3,1,0,0,275,10,2,8.05,21
0,3,1,0,0,25,10,0,14.4583,27
1,1,0,1,0,592,9,0,78.2667,54
0,3,1,0,0,826,10,2,15.1,28
0,1,0,1,2,410,11,2,151.55,25
0,3,1,0,0,330,10,2,7.7958,24
0,3,1,0,0,180,10,2,8.6625,17
0,3,0,0,0,335,9,1,7.75,21
0,3,0,0,0,454,9,1,7.6292,30
0,3,0,0,0,94,9,2,9.5875,37
1,1,0,0,0,869,9,2,86.5,16
0,1,1,1,0,430,10,0,108.9,18
1,2,0,0,2,468,11,2,26,33
1,1,1,0,0,714,10,2,26.55,45
0,3,1,0,0,393,10,2,22.525,28
1,3,1,0,0,146,10,2,56.4958,26
1,3,1,0,0,142,10,1,7.75,29
0,3,1,0,0,831,10,2,8.05,20
1,1,1,0,0,301,10,2,26.2875,36
1,1,0,1,0,91,11,0,59.4,54
0,3,1,0,0,843,10,2,7.4958,24
0,1,1,0,0,805,10,2,34.0208,47
1,2,0,0,0,591,11,2,10.5,34
0,3,1,0,0,200,10,1,24.15,22
1,2,0,1,0,367,11,2,26,36
0,3,1,0,0,716,10,2,7.8958,32
1,1,0,0,0,136,9,2,93.5,30
0,3,1,0,0,783,10,2,7.8958,22
0,3,1,0,0,356,10,0,7.225,32
1,1,0,0,1,594,11,0,57.9792,44
0,3,1,0,0,311,10,0,7.2292,30
0,3,1,0,0,209,10,1,7.75,40.5
1,2,0,0,0,583,9,2,10.5,50
0,1,1,0,0,187,10,2,221.7792,23
0,3,1,0,0,8,10,2,7.925,39
0,2,1,2,1,283,10,2,11.5,23
1,2,0,1,1,468,9,2,26,2
0,3,1,0,0,772,10,0,7.2292,21
0,3,1,1,1,228,10,0,7.2292,17
1,3,0,0,2,124,11,0,22.3583,29
0,3,0,0,0,152,9,2,8.6625,30
1,2,0,0,2,538,9,2,26.25,7
0,1,1,0,0,509,7,2,26.55,45
1,1,0,0,0,647,9,0,106.425,30
0,3,1,0,0,122,10,2,14.5,32
1,1,0,0,2,317,9,0,49.5,22
1,1,0,0,2,815,9,2,71,36
0,3,0,4,2,352,9,2,31.275,9
0,3,0,4,2,352,9,2,31.275,11
1,2,1,1,0,59,10,2,26,32
0,1,1,1,0,375,10,0,106.425,50
0,1,1,0,0,16,10,2,26,64
1,2,0,1,0,59,11,2,26,19
1,2,1,0,0,586,10,0,13.8625,30
0,3,1,1,1,285,10,2,20.525,33
1,2,1,1,1,581,8,2,36.75,8
1,1,1,0,2,427,10,0,110.8833,17
0,2,1,0,0,696,10,2,26,27
0,3,1,0,0,169,10,1,7.8292,21
1,3,1,0,0,246,10,0,7.225,22
1,3,0,0,0,820,9,2,7.775,22
0,1,1,0,0,493,10,2,26.55,62
1,1,0,1,0,824,6,0,39.6,48
0,1,1,0,0,560,10,0,227.525,27
1,1,0,1,1,435,11,2,79.65,39
1,3,0,1,0,552,11,2,17.4,36
0,3,1,0,0,864,10,1,7.75,21
0,3,1,0,0,265,10,2,7.8958,40
0,2,1,0,0,775,10,2,13.5,28
0,3,1,0,0,342,10,2,8.05,21
0,3,0,0,0,288,9,2,8.05,18
0,3,1,2,0,581,10,2,24.15,24
0,3,1,0,0,414,10,2,7.8958,19
0,3,0,0,4,528,11,2,21.075,29
0,3,1,0,0,515,10,0,7.2292,22
1,3,1,0,0,233,10,2,7.8542,32
1,2,1,0,0,244,10,2,10.5,62
1,1,0,2,0,396,11,2,51.4792,53
1,1,1,0,0,508,10,2,26.3875,36
1,3,0,0,0,328,9,1,7.75,22
0,3,1,0,0,87,10,2,8.05,16
0,3,1,0,0,138,10,2,14.5,19
1,2,0,0,0,760,9,2,13,34
1,1,0,1,0,624,11,2,55.9,39
0,3,0,1,0,745,11,0,14.4583,30
1,3,1,0,0,127,10,2,7.925,32
1,2,0,1,1,625,9,2,30,25
1,1,0,1,1,427,11,0,110.8833,39
0,2,1,0,0,360,10,2,26,54
0,1,1,0,0,848,10,0,40.125,36
0,3,1,0,0,84,10,0,8.7125,29
1,1,0,0,2,435,9,2,79.65,18
0,2,1,0,0,182,10,2,15,47
1,1,1,1,1,11,10,0,79.2,60
0,3,1,0,0,472,10,2,8.05,22
0,3,1,0,0,7,10,2,8.05,39
0,3,1,0,0,627,10,2,7.125,35
1,1,0,1,0,799,11,0,78.2667,52
0,3,1,0,0,381,10,2,7.25,47
0,3,0,0,2,92,9,1,7.75,18
0,2,1,1,0,199,10,2,26,37
0,3,1,1,1,807,10,2,24.15,36
1,2,0,0,0,37,9,2,33,30
0,3,1,0,0,517,10,2,0,49
0,3,1,0,0,302,10,0,7.225,22
1,1,1,1,0,824,10,0,56.9292,49
1,2,0,2,1,524,11,2,27,24
0,3,1,0,0,762,10,2,7.8958,21
0,1,1,0,0,266,10,2,42.4,42
0,3,1,0,0,749,10,2,8.05,44
1,1,1,0,0,459,10,0,26.55,35
0,3,1,1,0,704,10,2,15.55,36
0,3,1,0,0,432,10,2,7.8958,30
1,1,1,0,0,655,10,2,30.5,27
1,2,0,1,2,639,11,0,41.5792,22
1,1,0,0,0,110,9,2,153.4625,40
0,3,0,1,5,352,11,2,31.275,39
0,3,1,0,0,115,10,2,7.05,25
1,3,0,1,0,388,9,1,15.5,18
0,3,1,0,0,874,10,1,7.75,21
0,3,1,0,0,461,10,2,8.05,35
1,2,0,1,2,791,9,2,65,24
0,3,1,1,1,489,10,2,14.4,34
0,3,0,1,0,621,11,2,16.1,26
1,2,0,2,1,415,9,2,39,4
0,2,1,0,0,748,10,2,10.5,26
0,3,1,1,0,276,10,0,14.4542,27
1,1,1,1,0,41,10,2,52.5542,42
1,3,1,1,1,253,10,0,15.7417,20
0,3,1,0,0,555,10,2,7.8542,21
0,3,1,0,0,776,10,2,16.1,21
0,1,1,0,0,370,10,2,32.3208,61
0,2,1,0,0,447,0,1,12.35,57
1,1,0,0,0,836,9,2,77.9583,21
0,3,1,0,0,492,10,2,7.8958,26
0,3,1,0,0,578,10,1,7.7333,21
1,1,1,0,0,727,10,2,30,80
